DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
9/29/2019,5648,5420.285714285715,1117.4285714285713,680.8571428571429,873.5714285714286,1140.7142857142858,1566.2857142857142,0,41.285714285714285
10/6/2019,5644.714285714285,5802.428571428572,1367.142857142857,985,829.5714285714286,1151,1412.5714285714287,0,56.714285714285715
10/13/2019,5892.571428571428,5798.142857142857,1372.142857142857,909.2857142857143,851,1145,1460.2857142857142,0,60.42857142857143
10/20/2019,5819.857142857143,5432.285714285715,1372.142857142857,355.85714285714283,866.4285714285714,1210.4285714285713,1569.7142857142858,0,57.42857142857143
10/27/2019,5858.142857142857,5454.571428571428,1370.5714285714287,198.57142857142858,843.1428571428571,1326,1664,0,52.142857142857146
11/3/2019,6049.428571428572,6078.142857142857,1374,927,763.1428571428571,1361.7142857142858,1594.4285714285713,0,59.42857142857143
11/10/2019,5927.857142857143,6199.428571428572,1373,1138.7142857142858,878.7142857142857,1273.5714285714287,1476.7142857142858,0,57.57142857142857
11/17/2019,6007.714285714285,6150.714285714285,1378.5714285714287,785.4285714285714,910,1446,1572.857142857143,0,57
11/24/2019,6136.714285714285,6765.571428571428,1388,1280.142857142857,1165.857142857143,1431.142857142857,1442.7142857142858,0,56.57142857142857
12/1/2019,6344.285714285715,6872.714285714285,1425.142857142857,1056.142857142857,1236.5714285714287,1563.857142857143,1530.2857142857142,0,59.142857142857146
12/8/2019,6578.714285714285,6796.571428571428,1425.7142857142858,753.2857142857143,1242.142857142857,1715.5714285714287,1608.7142857142858,0,51.142857142857146
12/15/2019,6571.857142857143,6945.857142857143,1426.7142857142858,976.8571428571429,958.7142857142857,1738.5714285714287,1786.857142857143,0,57.285714285714285
12/22/2019,6343.142857142857,6366.857142857143,1428.7142857142858,898.8571428571429,949,1527.4285714285713,1506.7142857142858,0.14285714285714285,54.857142857142854
12/29/2019,5747,6304.571428571428,1423,1549.5714285714287,941.8571428571429,1070.857142857143,1269.142857142857,0,49.42857142857143
1/5/2020,6021.428571428572,6273.857142857143,1424,1013.8571428571429,1323.857142857143,1312.5714285714287,1143.142857142857,0,55.57142857142857
1/12/2020,6861.571428571428,7073.285714285715,1422.5714285714287,1211.5714285714287,1340.857142857143,1733.4285714285713,1300.2857142857142,0,63.714285714285715
1/19/2020,6753,6416.285714285715,1423.5714285714287,193.28571428571428,1085.5714285714287,1922.142857142857,1727.142857142857,0,64.42857142857143
1/26/2020,6625.857142857143,7176,1425.2857142857142,1406.5714285714287,970.2857142857143,1803.2857142857142,1504.4285714285713,0,65.42857142857143
2/2/2020,6447.285714285715,6782.571428571428,1420.857142857143,748,947.5714285714286,1888.142857142857,1717.142857142857,0,59.857142857142854
2/9/2020,6404,6690,1422.7142857142858,1019.4285714285714,1150,1746.142857142857,1286.4285714285713,0,64.57142857142857
2/16/2020,6486.571428571428,6344,1422.5714285714287,984,1284.4285714285713,1640,946.7142857142857,0,66.42857142857143
2/23/2020,6319.857142857143,6122.428571428572,1422.5714285714287,787.2857142857143,1180.5714285714287,1490.4285714285713,1171.7142857142858,0,68.28571428571429
